 0.000000, 1.000000, 0.000000
 0.100000, 0.995000,-0.000004
 0.200000, 0.980025,-0.000042
 0.300000, 0.955225,-0.000112
 0.400000, 0.920848,-0.000213
 0.500000, 0.877239,-0.000344
 0.600000, 0.824834,-0.000501
 0.700000, 0.764159,-0.000683
 0.800000, 0.695822,-0.000885
 0.900000, 0.620508,-0.001102
 1.000000, 0.538971,-0.001332
 1.100000, 0.452029,-0.001568
 1.200000, 0.360553,-0.001805
 1.300000, 0.265460,-0.002039
 1.400000, 0.167704,-0.002264
 1.500000, 0.068264,-0.002474
 1.600000,-0.031863,-0.002664
 1.700000,-0.131673,-0.002829
 1.800000,-0.230166,-0.002964
 1.900000,-0.326353,-0.003063
 2.000000,-0.419271,-0.003124
 2.100000,-0.507988,-0.003142
 2.200000,-0.591615,-0.003114
 2.300000,-0.669313,-0.003037
 2.400000,-0.740304,-0.002910
 2.500000,-0.803874,-0.002730
 2.600000,-0.859387,-0.002498
 2.700000,-0.906286,-0.002214
 2.800000,-0.944101,-0.001879
 2.900000,-0.972452,-0.001494
 3.000000,-0.991055,-0.001063
 3.100000,-0.999723,-0.000588
 3.200000,-0.998370,-0.000075
 3.300000,-0.987007, 0.000473
 3.400000,-0.965749, 0.001049
 3.500000,-0.934810, 0.001647
 3.600000,-0.894498, 0.002261
 3.700000,-0.845217, 0.002883
 3.800000,-0.787462, 0.003505
 3.900000,-0.721812, 0.004120
 4.000000,-0.648923, 0.004720
 4.100000,-0.569528, 0.005296
 4.200000,-0.484421, 0.005840
 4.300000,-0.394455, 0.006344
 4.400000,-0.300533, 0.006800
 4.500000,-0.203595, 0.007201
 4.600000,-0.104614, 0.007538
 4.700000,-0.004582, 0.007807
 4.800000, 0.095499, 0.008000
 4.900000, 0.194624, 0.008112
 5.000000, 0.291802, 0.008139
 5.100000, 0.386056, 0.008078
 5.200000, 0.476442, 0.007926
 5.300000, 0.562055, 0.007680
 5.400000, 0.642034, 0.007342
 5.500000, 0.715580, 0.006910
 5.600000, 0.781953, 0.006388
 5.700000, 0.840490, 0.005777
 5.800000, 0.890601, 0.005082
 5.900000, 0.931786, 0.004308
 6.000000, 0.963631, 0.003460
 6.100000, 0.985816, 0.002547
 6.200000, 0.998118, 0.001576
 6.300000, 1.000415, 0.000557
 6.400000, 0.992683,-0.000502
 6.500000, 0.974999,-0.001589
 6.600000, 0.947540,-0.002692
 6.700000, 0.910582,-0.003802
 6.800000, 0.864494,-0.004904
 6.900000, 0.809738,-0.005987
 7.000000, 0.746863,-0.007039
 7.100000, 0.676499,-0.008047
 7.200000, 0.599352,-0.008999
 7.300000, 0.516194,-0.009883
 7.400000, 0.427859,-0.010688
 7.500000, 0.335233,-0.011402
 7.600000, 0.239244,-0.012016
 7.700000, 0.140854,-0.012520
 7.800000, 0.041049,-0.012906
 7.900000,-0.059169,-0.013167
 8.000000,-0.158797,-0.013297
 8.100000,-0.256836,-0.013292
 8.200000,-0.352302,-0.013147
 8.300000,-0.444239,-0.012862
 8.400000,-0.531724,-0.012435
 8.500000,-0.613881,-0.011869
 8.600000,-0.689886,-0.011166
 8.700000,-0.758977,-0.010330
 8.800000,-0.820461,-0.009368
 8.900000,-0.873721,-0.008286
 9.000000,-0.918224,-0.007093
 9.100000,-0.953522,-0.005801
 9.200000,-0.979262,-0.004419
 9.300000,-0.995186,-0.002961
 9.400000,-1.001134,-0.001441
 9.500000,-0.997045, 0.000127
 9.600000,-0.982961, 0.001727
 9.700000,-0.959022, 0.003343
 9.800000,-0.925468, 0.004958
 9.900000,-0.882636, 0.006555
10.000000,-0.830954, 0.008117
